station,year,swe,lat,lon,ele,z
1C06,1967,102,50.9,-121.8166667,1209,1.313711652
1C06,1968,0,50.9,-121.8166667,1209,-1.012387921
1C06,1969,112,50.9,-121.8166667,1209,1.54176063
1C06,1970,0,50.9,-121.8166667,1209,-1.012387921
1C06,1971,119,50.9,-121.8166667,1209,1.701394914
1C06,1972,91,50.9,-121.8166667,1209,1.062857777
1C06,1973,46,50.9,-121.8166667,1209,0.036637377
1C06,1975,140,50.9,-121.8166667,1209,2.180297767
1C06,1977,61,50.9,-121.8166667,1209,0.378710843
1C06,1978,69,50.9,-121.8166667,1209,0.561150026
1C06,1979,0,50.9,-121.8166667,1209,-1.012387921
1C06,1980,17,50.9,-121.8166667,1209,-0.624704659
1C06,1981,0,50.9,-121.8166667,1209,-1.012387921
1C06,1982,92,50.9,-121.8166667,1209,1.085662674
1C06,1983,0,50.9,-121.8166667,1209,-1.012387921
1C06,1984,0,50.9,-121.8166667,1209,-1.012387921
1C06,1985,74,50.9,-121.8166667,1209,0.675174514
1C06,1986,0,50.9,-121.8166667,1209,-1.012387921
1C06,1987,27,50.9,-121.8166667,1209,-0.396655681
1C06,1988,0,50.9,-121.8166667,1209,-1.012387921
1C06,1989,9,50.9,-121.8166667,1209,-0.807143841
1C06,1990,44,50.9,-121.8166667,1209,-0.008972419
1C06,1991,86,50.9,-121.8166667,1209,0.948833288
1C06,1992,0,50.9,-121.8166667,1209,-1.012387921
1C06,1993,0,50.9,-121.8166667,1209,-1.012387921
1C06,1994,0,50.9,-121.8166667,1209,-1.012387921
1C06,1995,0,50.9,-121.8166667,1209,-1.012387921
1C06,1996,0,50.9,-121.8166667,1209,-1.012387921
1C06,1997,68,50.9,-121.8166667,1209,0.538345128
1C06,1998,0,50.9,-121.8166667,1209,-1.012387921
1C06,1999,40,50.9,-121.8166667,1209,-0.10019201
1C06,2000,33,50.9,-121.8166667,1209,-0.259826294
1C06,2001,38,50.9,-121.8166667,1209,-0.145801805
1C06,2002,70,50.9,-121.8166667,1209,0.583954923
1C06,2003,0,50.9,-121.8166667,1209,-1.012387921
1C06,2004,0,50.9,-121.8166667,1209,-1.012387921
1C06,2005,0,50.9,-121.8166667,1209,-1.012387921
1C06,2006,0,50.9,-121.8166667,1209,-1.012387921
1C06,2007,0,50.9,-121.8166667,1209,-1.012387921
1C06,2008,0,50.9,-121.8166667,1209,-1.012387921
